Sl,Time,Lat,Long,CP
1,0,31.6,78.3,943
2,0.5,31.66,78.33,942.17
3,1,31.72,78.35,941.33
4,1.5,31.78,78.38,940.5
5,2,31.83,78.4,939.67
6,2.5,31.89,78.43,938.83
7,3,31.95,78.45,938
8,3.5,32.01,78.48,937.17
9,4,32.07,78.5,936.33
10,4.5,32.13,78.53,935.5
11,5,32.18,78.55,934.67
12,5.5,32.24,78.58,933.83
13,6,32.3,78.6,933
14,6.5,32.37,78.6,932.5
15,7,32.43,78.6,932
16,7.5,32.5,78.6,931.5
17,8,32.57,78.6,931
18,8.5,32.63,78.6,930.5
19,9,32.7,78.6,930
20,9.5,32.77,78.58,931.33
21,10,32.83,78.57,932.67
22,10.5,32.9,78.55,934
23,11,32.97,78.53,935.33
24,11.5,33.03,78.52,936.67
25,12,33.1,78.5,938
26,12.5,33.17,78.43,938
27,13,33.23,78.35,938
28,13.5,33.3,78.28,938
29,14,33.37,78.2,938
30,14.5,33.43,78.13,938
31,15,33.5,78.05,938
32,15.5,33.57,77.98,938
33,16,33.63,77.9,938
34,16.5,33.7,77.83,938
35,17,33.77,77.75,938
36,17.5,33.83,77.68,938
37,18,33.9,77.6,938
38,18.5,33.97,77.46,938
39,19,34.03,77.32,938
40,19.5,34.1,77.18,938
41,20,34.17,77.03,938
42,20.5,34.23,76.89,938
43,21,34.3,76.75,938
44,21.5,34.37,76.61,938
45,22,34.43,76.47,938
46,22.5,34.5,76.33,938
47,23,34.57,76.18,938
48,23.5,34.63,76.04,938
49,24,34.7,75.9,938